,Date,Bounce,value
1,9/1/2020,Home Page,57.83
2,9/2/2020,Home Page,58.46
3,9/3/2020,Home Page,59.69
4,9/4/2020,Home Page,59.38
5,9/5/2020,Home Page,66.34
6,9/6/2020,Home Page,69.27
7,9/7/2020,Home Page,60.95
8,9/8/2020,Home Page,57.98
9,9/9/2020,Home Page,58.34
10,9/10/2020,Home Page,58.26
11,9/11/2020,Home Page,58.65
12,9/12/2020,Home Page,66.48
13,9/13/2020,Home Page,67.71
14,9/14/2020,Home Page,58.53
15,9/15/2020,Home Page,59.52
16,9/16/2020,Home Page,57.1
17,9/17/2020,Home Page,57.86
18,9/18/2020,Home Page,56.59
19,9/19/2020,Home Page,65.56
20,9/20/2020,Home Page,65.6
21,9/21/2020,Home Page,58.95
22,9/22/2020,Home Page,55.2
23,9/23/2020,Home Page,56.01
24,9/24/2020,Home Page,56.05
25,9/25/2020,Home Page,58.19
26,9/26/2020,Home Page,64.94
27,9/27/2020,Home Page,68.28
28,9/28/2020,Home Page,57.64
29,9/29/2020,Home Page,57.05
30,9/30/2020,Home Page,56.42
31,9/1/2020,Sign In,29.69
32,9/2/2020,Sign In,30.19
33,9/3/2020,Sign In,29.25
34,9/4/2020,Sign In,27.33
35,9/5/2020,Sign In,37.58
36,9/6/2020,Sign In,39.63
37,9/7/2020,Sign In,28.82
38,9/8/2020,Sign In,34.48
39,9/9/2020,Sign In,32.38
40,9/10/2020,Sign In,26.19
41,9/11/2020,Sign In,33.2
42,9/12/2020,Sign In,34.33
43,9/13/2020,Sign In,37.69
44,9/14/2020,Sign In,32.01
45,9/15/2020,Sign In,31.38
46,9/16/2020,Sign In,31.24
47,9/17/2020,Sign In,31.46
48,9/18/2020,Sign In,33.54
49,9/19/2020,Sign In,35.96
50,9/20/2020,Sign In,36.34
51,9/21/2020,Sign In,31.86
52,9/22/2020,Sign In,33.09
53,9/23/2020,Sign In,28.51
54,9/24/2020,Sign In,31.06
55,9/25/2020,Sign In,26.69
56,9/26/2020,Sign In,39.05
57,9/27/2020,Sign In,42.03
58,9/28/2020,Sign In,31.89
59,9/29/2020,Sign In,34.39
60,9/30/2020,Sign In,31.65
61,9/1/2020,Sign Up,40.62
62,9/2/2020,Sign Up,42.86
63,9/3/2020,Sign Up,52.78
64,9/4/2020,Sign Up,39.13
65,9/5/2020,Sign Up,43.75
66,9/6/2020,Sign Up,54.17
67,9/7/2020,Sign Up,52.38
68,9/8/2020,Sign Up,36.36
69,9/9/2020,Sign Up,25
70,9/10/2020,Sign Up,44.44
71,9/11/2020,Sign Up,47.62
72,9/12/2020,Sign Up,57.89
73,9/13/2020,Sign Up,39.29
74,9/14/2020,Sign Up,43.24
75,9/15/2020,Sign Up,58.62
76,9/16/2020,Sign Up,40
77,9/17/2020,Sign Up,32
78,9/18/2020,Sign Up,40.91
79,9/19/2020,Sign Up,40
80,9/20/2020,Sign Up,57.14
81,9/21/2020,Sign Up,48.15
82,9/22/2020,Sign Up,46.67
83,9/23/2020,Sign Up,47.06
84,9/24/2020,Sign Up,54.17
85,9/25/2020,Sign Up,54.84
86,9/26/2020,Sign Up,60
87,9/27/2020,Sign Up,64.29
88,9/28/2020,Sign Up,37.93
89,9/29/2020,Sign Up,53.85
90,9/30/2020,Sign Up,56.52